Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Joe Harvey","2 Tms",18,84,5,18,1,1,11,10,3,13,0,2,17,0.264705882,0.392857142,0.44117647,0.36049336691697437,16459
2019,"Ryan Yarbrough","TBR",141.2,563,4.1294,121,31,3,69,65,15,20,2,9,117,0.228301886,0.266903914,0.383018867,0.27304758142147745,16502
2019,"Dan Altavilla","SEA",14.2,64,5.5227,9,2,0,9,9,1,12,1,0,18,0.18,0.333333333,0.28,0.27715722014827116,16507
2019,"Jordan Montgomery","NYY",4,19,6.75,7,3,0,3,3,1,0,0,0,5,0.368421052,0.368421052,0.684210526,0.4314921310073451,16511
2019,"Harrison Musgrave","COL",10,47,3.6,9,1,1,4,4,0,7,1,0,12,0.23076923,0.340425531,0.307692307,0.2820586419623831,16532
2019,"Erik Swanson","SEA",58,245,5.7414,56,10,1,41,37,17,12,1,2,52,0.24347826,0.285714285,0.517391304,0.32806740139351515,16587
2019,"Jonathan Holder","NYY",41.1,181,6.3145,43,7,1,32,29,8,11,1,2,46,0.25595238,0.309392265,0.452380952,0.3187929262717565,16588
2019,"Bryan Abreu","HOU",8.2,32,1.0385,4,1,0,1,1,0,3,0,0,13,0.137931034,0.21875,0.172413793,0.18426154740154743,16609
2019,"Kyle Bird","TEX",12.2,65,7.8158,11,0,0,11,11,5,15,0,2,10,0.229166666,0.43076923,0.541666666,0.4108949771294227,16618
2019,"Jeff Brigham","MIA",38.1,161,4.4609,36,3,1,20,19,8,14,2,1,39,0.248275862,0.316770186,0.448275862,0.3180416428817893,16631
2019,"James Bourque","WSN",0.2,6,53.9973,3,2,0,4,4,0,2,0,0,0,0.75,0.833333333,1.25,0.7805874447027842,16668
2019,"Brock Stewart","2 Tms",25.2,124,9.8182,37,8,1,29,28,11,8,0,3,19,0.339449541,0.387096774,0.733944954,0.4440367212218623,16727
